title,content
OpenAI запустила Codex — агента для программирования в ChatGPT — Лайфхакер,"OpenAI объявила о запуске предварительной версии своего самого мощного ИИ-агента для кодирования — Codex. Он работает на основе новой модели codex‑1, усовершенствованной версии нейросети o3, оптимизированной для разработки программного обеспечения. Инструмент точнее выполняет инструкции и создаёт более чистый код по сравнению с o3, проверяя его до тех пор, пока он не начнёт корректно работать. Он также может исправлять ошибки, анализировать кодовую базу и выполнять другие задачи. Codex работает в облаке, позволяя пользователю свободно работать с компьютера или через браузер. Он способен выполнять несколько задач одновременно — время выполнения зависит от сложности и варьируется от минуты до получаса. Также Codex может подключаться к аккаунту пользователя на GitHub. Агент уже доступен подписчикам тарифов ChatGPT Pro, Enterprise и Team, а в будущем его интеграция распространится на Plus и Edu. В OpenAI отметили, что сейчас пользователям предоставляется «щедрый доступ» к Codex, но в ближайшие недели планируется введение лимитов на скорость работы. Вскоре также появится возможность приобретения дополнительных кредитов."
"Acer неожиданно анонсировала умное кольцо FreeSense Ring, анализирующее здоровье с помощью ИИ — Лайфхакер","Компания Acer показала умное кольцо FreeSense Ring, которое использует искусственный интеллект для предоставления более точной информации о состоянии здоровья. Устройство оснащено стандартными для подобных гаджетов функциями. Анонс новинки состоялся на выставке Computex 2025, поэтому подробностей о ней пока немного. Устройство обладает водонепроницаемостью уровня 5 АТМ, что позволяет без опасений принимать с ним душ или плавать в бассейне. Оно будет доступно в нескольких размерах и двух расцветках: чёрной (глянцевое покрытие) и розовое золото (матовое покрытие). Корпус выполнен из ультралёгкого титанового сплава, благодаря чему вес устройства составляет всего 2–3 грамма. Согласно пресс-релизу, FreeSense Ring отслеживает ключевые физиологические показатели, включая частоту сердечных сокращений, вариабельность сердечного ритма, уровень кислорода в крови и качество сна. В этом оно ничем не отличается от аналогов, таких как Oura и Galaxy Ring. Отличительной чертой кольца может стать повышенная персонализация данных благодаря использованию ИИ. В мобильном приложении будут представлены не только сведения о здоровье, но и рекомендации для его улучшения. Отмечается, что Acer FreeSense Ring не будет требовать дополнительной подписки, как Oura. Цена и дата выхода пока не раскрыты."
Не работает кондиционер: проверьте эти 5 вещей — Лайфхакер,"Неприятная, но нередкая ситуация: вы не использовали кондиционер с осени, а весной он просто отказывается включаться. При этом за окном +30, а дома, по ощущениям, и того выше. Рассказываем, что стоит проверить самостоятельно, прежде чем звонить мастеру: в сезон у специалистов бывают очереди, а в некоторых ситуациях вернуть сплит-системе работоспособность можно за считаные минуты. Все описанные методы не требуют особых навыков и инструментов, а также не представляют больших рисков усугубить ситуацию: мы не будем советовать ковырять плату или полностью что-то разбирать. Не сомневаемся, что вы подключили внутренний блок к розетке, но этого может быть недостаточно. Загляните в распределительный щиток и проверьте, не сработал ли автоматический выключатель, отвечающий за линию кондиционера. Если рычажок в положении «выключено», просто переведите его во «включено». Также стоит осмотреть предохранитель (если в щите вместо автоматов стоят плавкие вставки) — возможно, один из них перегорел. В таком случае его придётся менять: обращайтесь к электрику, не экспериментируйте самостоятельно. Также убедитесь, что вилка кондиционера плотно сидит в розетке, а кабель не имеет повреждений. При любом признаке перегрева или искрения выключите питание через щиток и, опять же, обратитесь к электрику, а не к мастеру по кондиционерам. Возможно, у него просто сели батарейки. Некоторые модели способны даже в таком состоянии отображать настройки, поэтому будет казаться, что пульт в порядке, но нажатие на кнопки ни к чему не приведёт. Поставьте новые батарейки и попробуйте снова. Помимо температуры у сплит-систем есть ещё одна важная настройка: режимы работы. Их количество и названия зависят от конкретной модели и производителя — чаще всего это английские слова или пиктограммы. Также убедитесь, что выставлена температура ниже, чем в помещении. Это особенно важно, если вместо охлаждения у вас выставлен авторежим: в нём кондиционер способен вообще перейти на обогрев, если у него есть такая функция. Наконец, убедитесь, что не настроен таймер отключения, экономичный или ночной режимы. Если кондиционер запустился и с важным видом гудит, а в комнате прохладнее не становится и поток воздуха совсем слабый, прибор пора чистить. Про это у нас есть отдельная подробная инструкция, но если кратко, то вот важные нюансы и последовательность действий: Если есть доступ к наружному блоку (например, он расположен у вас на балконе), имеет смысл почистить и его. Для этого отключите прибор от сети, снимите крышку и избавьтесь от пыли и грязи с помощью пылесоса, сухой тряпки и мыльного раствора. Если кондиционер запустился, настройки верные, поток воздуха ощутимый, но при этом температура этого воздуха такая же, как на улице, — проблема с большой вероятностью в наружном блоке. Прислушайтесь, слышите ли вы его работу или шумит только блок в помещении. Посмотрите, капает ли конденсат. Если можете дотянуться рукой, коснитесь корпуса и проверьте, есть ли вибрация, — но обязательно делайте это в резиновой перчатке. К сожалению, это знание не поможет вам починить кондиционер самостоятельно, но вы хотя бы сможете объяснить ситуацию мастеру, и он приедет с подходящим оборудованием для ремонта или заправки фреоном."
В Chrome для Android теперь можно увеличивать текст без искажения вёрстки сайта — Лайфхакер,"Google начала внедрять новую функцию масштабирования текста в мобильной версии браузера Chrome. Теперь пользователи Android смогут увеличивать шрифт на страницах без изменения макета сайта. Достаточно воспользоваться ползунком масштаба и задать нужный размер текста — можно сделать это как для отдельного сайта, так и для всех ресурсов в целом. Ранее при увеличении масштаба страница увеличивалась целиком, что затрудняло навигацию. Новый подход решает эту проблему, сохраняя форматирование и структуру веб-страниц. Чтобы опробовать функцию, нужно открыть меню с тремя точками в правом верхнем углу и выбрать масштаб текста. Кроме того, в десктопной версии Chrome обновилась функция оптического распознавания текста. Теперь она автоматически определяет текст на отсканированных PDF-документах, позволяя выделять, копировать и искать слова, а также использовать экранного диктора. Обновления коснулись и Android-функции TalkBack, которая озвучивает содержимое экрана для пользователей с нарушениями зрения. Благодаря интеграции с ИИ Gemini она теперь может отвечать на уточняющие вопросы об изображениях. Пользователь сможет узнать, из чего сделан объект на фото, какого он цвета и что ещё находится в кадре. Также Google анонсировала Expressive Captions — функцию, создающую субтитры в реальном времени с учётом эмоциональной окраски речи. Например, она отразит разницу между обычным «нет» и протяжным «неееет», а также подпишет свист или покашливание. Пока функция доступна только на английском языке в США, Великобритании, Канаде и Австралии для устройств на Android 15 и выше."
Определитель номера от «Яндекса» начал показывать фото и рейтинги организаций — Лайфхакер,"«Яндекс» обновил свой автоматический определитель номера, встроенный в приложения «Яндекс с Алисой» и «Яндекс Браузер». В версиях для Android после входящего вызова от организации теперь доступны дополнительные сведения о звонившем — рейтинг компании, фотографии офиса или магазина, график работы и ссылка на сайт. Подробности отображаются в истории вызовов. Во время самого звонка теперь могут появляться фото организации — это помогает быстрее узнать знакомое заведение. Рейтинг компании формируется на основе отзывов из «Яндекс Карт»: при нажатии на него можно сразу узнать мнения других людей. Новые функции появились благодаря интеграции с «Яндекс Бизнесом» — сервисом, где компании могут подтвердить информацию о себе. Чтобы данные отображались в определителе номера, у организации должна быть хотя бы одна офлайн-точка, а сведения о ней — добавлены в карточку «Яндекс Бизнеса»."
Garmin представила новые часы Forerunner — яркие и с продвинутыми метриками для бега — Лайфхакер,"Garmin анонсировала две новые модели спортивных смарт-часов — Forerunner 970 и Forerunner 570, — а также нагрудный датчик HRM 600. Все новинки могут похвастаться рядом продвинутых функций для бегунов и триатлетов, причём многие из них доступны бесплатно, без подписки Garmin Connect Plus. Флагманская модель Forerunner 970 стоит 750 долларов (≈60 600 рублей) и пришла на смену 965. Она получила титановый безель, сапфировое стекло, поддержку офлайн-карт и встроенный фонарик. Часы доступны только в размере 47 мм и работают до 15 дней без подзарядки. Более доступные Forerunner 570 за 550 долларов (≈44 400 рублей) выпускаются в версиях 42 и 47 мм и оснащены алюминиевым безелем. Младшая модель работает до 10 или 11 дней в зависимости от размера корпуса. Обе модели получили OLED-дисплей, микрофон и динамик для звонков, датчик температуры кожи и поддержку нового вечернего отчёта, который оценивает потребность во сне и показывает прогноз на следующий день. Также появилась возможность создания кастомных тренировок с несколькими видами спорта и обновлённый режим триатлона в бесплатной программе Garmin Coach. Цветовая палитра стала заметно ярче: 47-миллиметровые Forerunner 570 доступны в насыщенном индиго, а 42-миллиметровый вариант — в расцветке малина с манго. Forerunner 970 поддерживают эксклюзивные беговые метрики: «толерантность к бегу», «экономичность бега» и «потерю скорости шага». Первая помогает оценить оптимальный недельный объём тренировок, вторая — эффективность бега с учётом накопленной усталости, а третья измеряет, насколько снижается скорость после каждого шага. Последние две метрики требуют подключения нового нагрудного датчика HRM 600 за 170 долларов (≈13 700 рублей). Также он поддерживает командные виды спорта и другие тренировки, в которых неудобно использовать смарт-часы. У него аккумулятор на два месяца и световые индикаторы состояния. Все новинки поступят в продажу 21 мая."
"Идеально, но тревожно: Сэм Альтман хочет, чтобы ChatGPT помнил «всю вашу жизнь» — Лайфхакер","Генеральный директор OpenAI Сэм Альтман на мероприятии Sequoia Capital рассказал о будущем ChatGPT — и его слова вызвали бурные обсуждения. Он заявил, что в перспективе искусственный интеллект должен стать настолько персонализированным, что будет помнить каждую деталь жизни пользователя. «Идеал — это крошечная модель, способная к рассуждению, с триллионом токенов контекста, куда можно поместить всю свою жизнь», — объяснил Альтман. По его замыслу, такой ИИ сможет эффективно обрабатывать всю совокупность данных человека: каждую переписку, книгу, письмо и веб-страницу, которые он читал, и внешние источники, к которым подключён. Причём вся эта информация будет постепенно добавляться в контекст модели. По словам Альтмана, компании смогут делать то же самое со своими данными — интегрировать всё, что у них есть, в единую систему на базе ChatGPT. Он также отметил, что молодёжь уже активно использует ИИ как операционную систему: загружает файлы, подключает источники данных и формулирует сложные запросы. «Многие молодые люди буквально не принимают жизненных решений, не посоветовавшись с ChatGPT», — поделился он наблюдением. При этом он провёл границу между поколениями: пожилые чаще воспринимают модель как альтернативу Google, тогда как 20–30-летние — как персонального советника. Возможности такого подхода впечатляют. В теории ИИ сможет сам записать машину на замену масла, купить подарок на свадьбу друга или заказать следующую часть любимой книжной серии. Однако возникает серьёзный вопрос: насколько разумно доверять настолько глубокое знание о себе технологической корпорации? История крупных IT-компаний показывает, что их поведение далеко не всегда безупречно. Google, например, недавно проиграла антимонопольное дело в США, а чат-боты от xAI и других компаний уже попадались на странных высказываниях. Даже ChatGPT в апреле стал чрезмерно «угодливым» — и это быстро разошлось на мемы. Всё это говорит о том, что, несмотря на огромный потенциал, идея всезнающего ИИ требует особой осторожности. Пока технологии движутся вперёд, не стоит забывать о рисках, связанных с приватностью и манипуляцией."
Sony представила наушники M6 с улучшенным шумоподавлением — они снова складываются — Лайфхакер,"Sony представила новые беспроводные полноразмерные наушники WH-1000XM6. Компания слегка обновила дизайн, улучшила качество звучания и систему активного шумоподавления, а также вернула складные шарниры, благодаря которым наушники снова можно складывать. Новинка оснащена 12 микрофонами для подавления внешних шумов (в предыдущей версии их было 8). Кроме того, используется искусственный интеллект, который автоматически адаптирует ANC к окружающим условиям. Для оптимизации звука установлен новый аудиодрайвер. Время автономной работы осталось прежним: до 30 часов с активированным шумоподавлением и до 40 часов без него. Производитель утверждает, что быстрая зарядка позволяет за три минуты восполнить заряд для трёх часов работы. Стоит также отметить, что теперь музыку можно слушать даже во время подпитки. Однако для этого потребуется использовать два кабеля одновременно: USB‑C и 3.5‑мм. Основные изменения в дизайне включают складные амбушюры, более широкое оголовье для увеличенного комфорта, обновлённую кнопку питания, отдельную кнопку для управления микрофонами и уменьшенный магнитный чехол для переноски. Стоимость Sony WH-1000XM6 составляет 450 долларов (≈36 000 рублей), что на 50 долларов (≈4 000 рублей) дороже модели 2022 года. Они доступны в чёрном, серебристом и тёмно-синем цветах."
Oppo показала дуэт смартфонов Reno14 с большими батареями и четырьмя камерами для стримов — Лайфхакер,"Oppo представила два устройства среднего класса — Reno14 и Reno14 Pro. Они предназначены для съёмки 4K-видео со скоростью 60 кадров в секунду и оснащённы ёмкими батареями для длительной автономной работы. Различия между моделями минимальны. Oppo Reno14 Pro имеет больший 6,83-дюймовый OLED-дисплей с разрешением 2 800 × 1 272 пикселей, частотой обновления 120 Гц и пиковой яркостью 1 200 нит. Поддерживается высокочастотное ШИМ-затемнение на уровне 3 840 Гц. Устройство оборудовано тремя 50-мегапиксельными камерами: основной с диафрагмой f/1.8 (OIS), сверхширокоугольной и перископической, обеспечивающей 3,5‑кратный оптический зум. Фронтальная также имеет разрешение 50 Мп. Все они поддерживают запись видео в 4K при 60 кадрах в секунду. Oppo позиционирует Reno14 Pro как идеальный телефон для видеотрансляций. Компания разработала активный кулер для крепления на задней панели и внешний аккумулятор ёмкостью 20 000 мА⋅ч для многочасовых стримов. Три встроенных микрофона обещают снижение шума на 90%, а датчик цветовой температуры автоматически корректирует цвета. Pro-версия работает на новейшем чипсете Dimensity 8450. Батарея ёмкостью 6 200 мА⋅ч обеспечивает до 5 часов прямой трансляции и до 8 часов игры. Поддерживается проводная зарядка мощностью 80 Вт и беспроводная на 50 Вт. Цены такие: Oppo Reno14 оснащён 6,59-дюймовым дисплеем, поэтому немного компактнее. Основное отличие заключается в чипсете: модель работает на более простом Dimensity 8350. Аккумулятор также имеет меньшую ёмкость — 6 000 мА⋅ч, но поддерживает быструю проводную зарядку мощностью 80 Вт. Reno14 получил 50-мегапиксельную основную камеру (f/1.8, OIS) и 50-мегапиксельный перископический модуль. Однако сверхширокоугольная имеет лишь 8‑мегапиксельный датчик. Фронтальная остаётся неизменной — 50 Мп. Оба устройства соответствуют стандартам защиты IP68/IP69 и предлагают специальные режимы для подводной съёмки. В этом случае сразу пять конфигураций памяти: Новинки уже доступны для предзаказа в Китае. В продажу они поступят 23 мая."
Huawei представила умные часы Watch 5 с продвинутым измерением здоровья и спортивные Watch Fit 4 — Лайфхакер,"Huawei провела в Берлине презентацию и представила ряд новых устройств. Главной новинкой стали умные часы Watch 5, оснащённые передовой сенсорной технологией Huawei X‑TAP, которая позволяет измерять ЭКГ, уровень кислорода в крови и жёсткость артерий с помощью нажатия пальцем на боковую часть корпуса. Модуль X‑TAP включает оптический сенсор, электрод ЭКГ и датчик давления, позволяющий учитывать силу нажатия. По данным Huawei, это обеспечивает 10–50-кратное улучшение качества сигнала по сравнению с традиционными методами. Благодаря этому часы могут, например, за 10 секунд измерить уровень кислорода в крови или за 60 секунд предоставить полную сводку показателей здоровья: пульс, вариабельность сердечного ритма, температуру кожи, уровень стресса, дыхательные параметры и даже признаки нарушений сна. Также в Watch 5 появились новые жесты управления — двойное касание и двойное проведение. Часы выпускаются в версиях 42 и 46 мм с корпусами из нержавеющей стали и титана. Максимальная яркость дисплея достигает 3 000 нит, а время автономной работы — до 4,5 суток. Особое внимание Huawei уделила новому титановому корпусу фиолетового цвета: для достижения нужного оттенка использовалась специальная технология окисления, хотя вживую он выглядит скорее синевато-серым. В России Watch 5 уже поступили в продажу по цене от 39 999 до 64 999 рублей. Модель Watch Fit 4 сохранила прямоугольную форму и получила более лёгкий и тонкий корпус (9,3 мм, 30 граммов). Есть поддержка маршрутов для водных видов спорта, альпинизма, бега по пересечённой местности и даже фридайвинга на глубине до 40 метров. Pro-версия часов имеет защитное сапфировое стекло, корпус из титана и поддержку карт рельефа с точной навигацией. Стоимость обычной версии Watch Fit 4 составляет 12 999 рублей, Pro-варианта — 19 999 рублей. Среди других новинок — беспроводные наушники FreeBuds 6 с полуоткрытой конструкцией и поддержкой аудио без потерь до 2,3 Мбит/с, а также планшет MatePad Pro 12,2″ с экраном Tandem OLED и технологией PaperMatte. Последний можно использовать с клавиатурой Glide Keyboard и обновлённым приложением «Блокнот», что делает его полноценным рабочим инструментом. Наушники доступны по цене 11 999 рублей, планшет — за 76 999 рублей."
Складной iPhone может стать ежегодным релизом и заменить модель Pro Max — Лайфхакер,"Apple готовится сделать крупную ставку на свой первый складной смартфон, который в СМИ пока называют iPhone Fold. В отличие от серии SE, этот девайс не будет экспериментом, сообщает Phone Arena. Согласно данным издания, устройство действительно дебютирует в 2026 году. Оно также может заменить модель Pro Max, став новым флагманом компании из Купертино. Apple намерена позиционировать Fold как самый премиальный iPhone. Компания хочет выделиться среди конкурентов за счёт практически незаметной складки на дисплее и применению передового шарнира, превосходящего аналоги на рынке. Хотя складные смартфоны остаются дорогостоящими, iPhone Fold будет отличаться даже на этом фоне. Ожидается, что его цена составит от 2 100 до 2 500 долларов (≈168 700–201 000 рублей). Для сравнения: базовая версия Galaxy Z Fold6 стоит 1 900 долларов (≈152 700 рублей), а текущая модель iPhone Pro Max, которую он может заменить в будущем, — 1 200 долларов (≈95 500 рублей)."
"Xiaomi прекращает поддержку ещё нескольких смартфонов, включая Poco F4 — Лайфхакер","Xiaomi обновила свой список End-of-Life (EoL). В него попадают устройства, которые больше не будут обновляться. На этот раз компания внесла в него семь смартфонов Redmi и Poco. Устаревшими официально стали: Поддержка этих телефонов завершится в июне 2025 года. После этого устройства больше не будут получать обновления Android, новые функции, исправления ошибок и, что особенно важно, регулярные патчи безопасности. Хотя телефоны продолжат работать, они могут стать уязвимыми для мошенников."
Промпт дня: «распиши мне уход за лицом» — Лайфхакер,"Когда мы обсуждали самые популярные сценарии использования чат-ботов в редакции, удивительно много ответов было на тему уходовой косметики. Оказалось, что ChatGPT и DeepSeek помогают коллегам выбирать оптимальные продукты под свои запросы и даже полностью расписывают план с учётом особенностей кожи, запросов пользователя и сочетаемости активов. Вы тоже так можете, главное — использовать хороший промпт. Вот один из вариантов запроса для составления персонализированного плана по уходу за лицом: Начиная с пункта «Инструкции» весь текст предназначен для нейронки, вам не нужно заполнять эти пробелы. Да, портянка получается приличная, зато минимизирует риск, что чат-бота заведёт не в те дебри, если запрос будет в нескольких сообщениях. Для этого промпта лучше включать поиск в интернете и рассуждение: это поможет боту обращаться к исследованиям и искать составы, а также выбирать средства под заданный бюджет. В ответ на промпт бот сразу выдаст всю информацию: и анализ косметички, и план действий, и варианты средств, которые стоит добавить. Также будут уточняющие вопросы: если вы посчитаете, что они важные, ответьте, чтобы получить доработанную консультацию. Важный момент: если у вас хронические заболевания вроде экземы или есть сыпь, которая долго не проходит, перед обращением к нейронке лучше всё-таки сходить к дерматологу. Потому что в некоторых случаях для лечения кожи нужно правильно подобранное лекарство, а не дорогой десятиступенчатый уход. РОЛЬ: Ты — косметолог-дерматолог с 10-летним опытом, эксперт в фармакологии косметических ингредиентов. Ты строго следуешь принципам доказательной медицины и учитываешь совместимость компонентов. ЗАДАЧА: Составить персонализированный уходовый план для достижения цели: [конкретный результат: «увлажнённая кожа без шелушения», «суженные поры без чёрных точек»]. Срок достижения: [например, «2 месяца»]. КОНТЕКСТ 1. Мой профиль. 2. Текущие проблемы: 3. Существующие средства: 4. Желаемый уход: ИНСТРУКЦИИ 1. Если нужно, задай вопросы, чтобы заполнить пробелы в контексте (не более 5). 2. Проанализируй состав текущих средств пользователя: 3. Составь план ухода по шагам. 4. Дай рекомендации. 5. Предложи дополнительные советы. Формат ответа: маркированные списки без разметки."
We Are Rewind представила стильный кассетный магнитофон с современными возможностями — Лайфхакер,"Французская компания We Are Rewind, известная современными кассетными плеерами, представила кассетный магнитофон GB-001. Это переосмысление классического бумбокса 1980‑х годов с ретро-дизайном и актуальными возможностями. GB-001 можно использовать как Bluetooth-колонку — устройство поддерживает беспроводную передачу аудио со смартфона. Однако главной его особенностью стала возможность проигрывать аудиокассеты. Аппарат оснащён регулируемым мотором с точной стабилизацией скорости и схемой шумоподавления, имитирующей Dolby B, чтобы корректно воспроизводить старые записи без потери качества. Запись тоже поддерживается — как по проводу, так и по Bluetooth. Модель оснащена четырьмя динамиками — двумя мощными вуферами и двумя твитерами с мягкими куполами, что обеспечивает естественное звучание без избыточного баса и с отчётливым вокалом. Кроме того, GB-001 имеет функцию пространственного звука. Питание обеспечивается съёмным аккумулятором ёмкостью 3 000 мА·ч: до 10 часов работы при проигрывании кассеты через динамики или до 15 часов при воспроизведении внешнего источника. Через наушники устройство работает до 15 и 28 часов соответственно. Главный визуальный акцент — пара настоящих аналоговых VU-индикаторов с мягкой тёплой подсветкой, показывающих уровень звукового сигнала. Устройство также получило складную ручку для переноски и минималистичный корпус. Стоимость GB-001 составляет 449 евро (≈40 400 рублей)."
"LG представила полностью безрамочный телевизор, который разделяется на два — Лайфхакер","LG продемонстрировала необычную разработку — прототип полностью безрамочного microLED-телевизора, состоящего из двух 22-дюймовых панелей. Экран может использоваться как единое ультраширокое полотно либо разделяться на два автономных дисплея. Секрет лежит в новой архитектуре microLED и точной стыковке панелей, благодаря которой создаётся иллюзия цельного изображения. При этом между экранами не заметно ни миллиметра шва — ни визуально, ни на ощупь. Технология microLED не только обеспечивает идеальные чёрные цвета, высокую яркость и точную цветопередачу, но и отличается долговечностью, отсутствием выгорания и возможностью регулировать яркость и цвет каждого пикселя отдельно. Это обеспечивает более точное и реалистичное изображение по сравнению с технологиями, использующими общую подсветку. LG подчёркивает, что подобные панели особенно полезны в коммерческих целях, например, для создания нестандартных дисплеев любых форм и размеров. Однако их можно применять и дома — скажем, для сборки огромного рабочего монитора из нескольких частей. Несмотря на высокую стоимость производства microLED, компания явно не собирается сворачивать инвестиции в это направление."
